country,holiday_date,holiday_name
Greenland,2018-05-16,General Prayer Day 
Greenland,2018-05-21,Whit Monday 
Greenland,2018-06-21,National Day 
Greenland,2018-12-25,Christmas Day 
Greenland,2018-12-26,Boxing Day 
Greenland,2018-12-31,New Year's Eve 

St. Helena,2018-01-01,New Year 
St. Helena,2018-03-30,Good Friday 
St. Helena,2018-04-02,Easter Monday 
St. Helena,2018-04-16,Queen's Birthday 
St. Helena,2018-05-21,Whit Monday 
St. Helena,2018-05-21,Saint Helena's Day 
St. Helena,2018-09-03,August Bank Holiday 
St. Helena,2018-12-25,Christmas Day 
St. Helena,2018-12-26,Boxing Day 

Argentina,2018-01-01,New Year's Day 
Argentina,2018-02-12,Carnival 
Argentina,2018-02-13,Carnival/Shrove Tuesday 
Argentina,2018-03-24,Memorial Day 
Argentina,2018-03-29,Maundy Thursday 
Argentina,2018-03-30,Good Friday	 
Argentina,2018-04-02,Day of the Veterans 
Argentina,2018-04-30,Bridge Public Holiday 
Argentina,2018-05-01,Labor Day / May Day 
Argentina,2018-05-25,National Day/May 1810 Revolution 
Argentina,2018-06-17,Commemoration of General Don Martín Miguel de Güemes 
Argentina,2018-06-20,Flag Day 
Argentina,2018-07-09,Independence day 
Argentina,2018-08-20,San Martín Day 
Argentina,2018-10-15,Day of respect for cultural diversity 
Argentina,2018-11-19,National Sovereignty Day 
Argentina,2018-12-08,Feast of the Immaculate Conception 
Argentina,2018-12-24,Bridge Public Holiday 
Argentina,2018-12-25,Christmas Day 

Bolivia,2018-01-01,New Year's Day 
Bolivia,2018-01-22,Plurinational State Foundation Day 
Bolivia,2018-02-12,Carnival 
Bolivia,2018-02-13,Carnival/Shrove Tuesday 
Bolivia,2018-03-30,Good Friday-Christian 
Bolivia,2018-05-01,Labor Day / May Day 
Bolivia,2018-05-31,Corpus Christi 
Bolivia,2018-06-21,Aymara New Yeariday 
Bolivia,2018-06-22,Aymara New Year Day holiday 
Bolivia,2018-08-06,Independence Day 
Bolivia,2018-11-02,All Saints Day 
Bolivia,2018-12-25,Christmas Day-Christian 

Brazil,2018-01-01,New Year's Day 
Brazil,2018-03-30,Good Friday 
Brazil,2018-04-21,Tiradentes Day 
Brazil,2018-05-01,Labor Day / May Day 
Brazil,2018-09-07,Independence Day 
Brazil,2018-10-12,Our Lady Aparecida/Children's Day 
Brazil,2018-11-02,All Souls' Day 
Brazil,2018-11-15,Republic Proclamation Day 
Brazil,2018-12-25,Christmas Day 

Chile,2018-01-01,New Year's Day 
Chile,2018-03-30,Good Friday 
Chile,2018-03-31,Holy Saturday 
Chile,2018-05-01,Labor Day / May Day 
Chile,2018-05-21,Navy Day 
Chile,2018-07-02,Saint Peter and Saint Paul 
Chile,2018-07-16,Our Lady of Mount Carmel 
Chile,2018-08-15,Assumption of Mary 
Chile,2018-09-17,Extended National Holiday 
Chile,2018-09-18,National Day 
Chile,2018-09-19,Army Day 
Chile,2018-10-15,Columbus Day 
Chile,2018-11-01,All Saints' Day 
Chile,2018-11-02,eformation Day 
Chile,2018-12-08,Inmaculate Conception Day 
Chile,2018-12-25,Christmas Day 

Colombia,2018-01-01,New Year's Day 
Colombia,2018-01-08,Epiphany 
Colombia,2018-03-19,Saint Joseph's Day 
Colombia,2018-03-29,Maundy Thursday 
Colombia,2018-03-30,Good Friday 
Colombia,2018-05-01,Labor Day / May Day 
Colombia,2018-05-14,Ascension Day 
Colombia,2018-06-04,Corpus Christi 
Colombia,2018-06-11,Sacred Heart 
Colombia,2018-07-02,Feast of Saint Peter and Saint Paul 
Colombia,2018-07-20,Independence Day 
Colombia,2018-08-07,Battle of Boyacá Day 
Colombia,2018-08-20,Assumption of Mary 
Colombia,2018-10-15,Columbus Day 
Colombia,2018-11-05,All Saints' Day 
Colombia,2018-11-12,Independence of Cartagena 
Colombia,2018-12-08,Feast of the Immaculate Conception 
Colombia,2018-12-25,Christmas Day 

Ecuador,2018-01-01,New Year's Day 
Ecuador,2018-02-12,Carnival 
Ecuador,2018-02-13,Carnival 
Ecuador,2018-03-30,Good Friday 
Ecuador,2018-05-01,Labor Day / May Day 
Ecuador,2018-05-24,The Battle of Pichincha 
Ecuador,2018-08-10,Independence Day 
Ecuador,2018-10-09,Independence of Guayaquil 
Ecuador,2018-11-02,All Soul´s Day 
Ecuador,2018-11-03,Independence of Cuenca 
Ecuador,2018-12-25,Christmas Day 

guyana,2018-01-01,New Year's Day 
guyana,2018-02-23,Mashramani (Republic Day) 
guyana,2018-03-30,Good Friday 
guyana,2018-04-02,Easter Monday 
guyana,2018-05-01,Labor Day / May Day 
guyana,2018-05-05,Arrival Day 
guyana,2018-05-26,Independence Day 
